full_name,first_name,last_name,country,id,type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,type_avg,diff_avg,player_avg
Romelu Lukaku,Romelu,Lukaku,Belgium,907,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.42,0.4,0.14,0.45,0.44,0.42,0.53,0.65,0.53,0.33,0.68,0.42,0.2,0.52
Romelu Lukaku,Romelu,Lukaku,Belgium,907,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0,0.1,0,0.62,0,0.38,0.75,1.05,2,1.4,0.62,0.2,0.52
Thomas Meunier,Thomas,Meunier,Belgium,264,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.1,0.14,0.09,0.04,0.12,0.06,0.15,0.14,0.04,0.19,-0.12,0.13
Thomas Meunier,Thomas,Meunier,Belgium,264,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0.32,0,0.25,0.07,-0.12,0.13
Radja Nainggolan,Radja,Nainggolan,Belgium,205,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0.08,0.03,0.05,0.03,0.06,0.1,0.11,0.14,0.25,0.14,0.19,0.2,0.1,0.04,0.12
Radja Nainggolan,Radja,Nainggolan,Belgium,205,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0.5,0.5,0.24,0,0,-1,-1,0.14,0.04,0.12
Wesley Sonck,Wesley,Sonck,Belgium,114217,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.29,0,-1,0.47,0.27,0.36,0.07,0.08,-1,-1,-1,-1,-1,-1,-1,0.22,0.21,0.33
Wesley Sonck,Wesley,Sonck,Belgium,114217,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.25,1,0.55,-1,0.33,-1,0.33,0.33,0.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.43,0.21,0.33
Daniel Van Buyten,Daniel,Van Buyten,Belgium,114958,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.07,0.12,0.11,0.17,0.19,0.07,0.17,0,0.06,0,-1,-1,-1,-1,-1,0.09,0.03,0.11
Daniel Van Buyten,Daniel,Van Buyten,Belgium,114958,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08,0,0,0,0.25,0,0.08,0.5,0.14,0.25,0.25,0,0,-1,-1,-1,-1,-1,-1,0.12,0.03,0.11
Jan Vertonghen,Jan,Vertonghen,Belgium,170,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.19,0.05,0.15,0.06,0.16,0.24,0.12,0.03,0.02,0,0,0.02,0.06,0.07,0.08,0.01,0.09
Jan Vertonghen,Jan,Vertonghen,Belgium,170,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.25,0,0,0.14,0,0.1,0.5,0,0,0.14,0,0,0.09,0.01,0.09
Axel Witsel,Axel,Witsel,Belgium,20,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,0.25,0.28,0.07,0.15,0.1,0.14,0.15,0.1,0.06,0.12,0.09,0.14,-0.03,0.13
Axel Witsel,Axel,Witsel,Belgium,20,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.33,0.5,0,0.2,0.14,0,0.05,0,0.05,0,0.11,0,0,0.11,-0.03,0.13
Ermin Bicakcic,Ermin,Bicakcic,Bosnia-and-Herzegovina,705,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.12,0.09,0.03,0.07,0,0.05,0,0.03,0.09,0.04,0.02,0.05
Ermin Bicakcic,Ermin,Bicakcic,Bosnia-and-Herzegovina,705,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.14,0,0.25,0,0.09,0,0,0.06,0.02,0.05
