full_name,first_name,last_name,country,id,club1991,nt1991,club1992,nt1992,club1993,nt1993,club1994,nt1994,club1995,nt1995,club1996,nt1996,club1997,nt1997,club1998,nt1998,club1999,nt1999,club2000,nt2000,club2001,nt2001,club2002,nt2002,club2003,nt2003,club2004,nt2004,club2005,nt2005,club2006,nt2006,club2007,nt2007,club2008,nt2008,club2009,nt2009,club2010,nt2010,club2011,nt2011,club2012,nt2012,club2013,nt2013,club2014,nt2014,club2015,nt2015,club2016,nt2016,club2017,nt2017,club2018,nt2018,club2019,nt2019,club2020,nt2020
Lazar Markovi?,Lazar,Markovi?,Serbia,19028,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.21,0.33,0.23,0,0.16,0.08,0.08,0.5,0.08,0,0.12,0,0.22,0,0,-1,0.29,-1
Sergej Milinkovic-Savi?,Sergej,Milinkovic-Savi?,Serbia,1856,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,-1,0.21,-1,0.09,0,0.18,0,0.29,0,0.17,0,0.19,0.4
Aleksandar Mitrovic,Aleksandar,Mitrovic,Serbia,2825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.27,-1,0.42,0,0.42,0.14,0.54,0.33,0.25,0.17,0.21,1,0.52,0.75,0.28,1,0.63,1.11
Dušan Tadi?,Dušan,Tadi?,Serbia,554,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13,-1,0.23,0,0.29,-1,0.34,0,0.17,-1,0.2,0,0.31,0.75,0.47,0.2,0.14,0,0.2,0.2,0.07,0,0.17,0.29,0.64,0.2,0.34,0.29
Zoran Toši?,Zoran,Toši?,Serbia,45838,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.23,0,0.33,0.67,0.26,0.18,0.27,0.25,0.21,0.14,0.11,0,0.36,0.14,0.21,0,0.15,0.23,0.04,0,0.45,0,0.24,-1,0.24,-1
Nikola Žigi?,Nikola,Žigi?,Serbia,115957,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.61,-1,0.41,0,0.38,-1,0.06,0.54,0.68,0.67,0.35,0.22,0.24,0,0.28,0.4,0.25,-1,0.23,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Marek ?ech,Marek,?ech,Slovakia,114887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0.06,0,0.04,0,0,0.25,0,0,0.05,0.25,0,0,0.02,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ondrej Duda,Ondrej,Duda,Slovakia,25349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.06,-1,0.24,0,0.18,0.33,0.12,0.1,0,0,0.04,0.11,0.31,0,0.04,0.17
Michal ?uriš,Michal,?uriš,Slovakia,15414,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.21,-1,0.16,-1,0.21,0,0.16,0,0.22,0,0.25,1,0.51,0.07,0.25,0,0.61,0,0.34,0,0.27,0
Marek Hamšík,Marek,Hamšík,Slovakia,12994,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17,-1,0,-1,0.25,0,0.24,0.29,0.28,0.4,0.31,0.12,0.27,0,0.24,0.07,0.26,0,0.16,0.27,0.25,0,0.17,0.39,0.31,0,0.14,0.14,0.06,0.2,0.14,0.33
